Book Name,Author,Rating,Customers_Rating,Price
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"26,648",₹395.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"11,461",₹274.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"16,468",₹309.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"21,286",₹445.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"6,541",₹89.00
Sach Kahun Toh: An Autobiography,Neena Gupta,5.0 out of 5 stars,3,₹381.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"22,560",₹90.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"7,797",₹295.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"57,281",₹195.00
Believe: What Life and Cricket Taught Me,Suresh Raina,4.6 out of 5 stars,10,₹281.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"10,466",₹614.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"42,932",₹444.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"6,963",₹260.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"13,396",₹460.00
Karma: A Yogi's Guide to Crafting Your Destiny,Sadhguru,4.7 out of 5 stars,"1,519",₹205.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,"1,721",₹135.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"6,291",₹206.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"3,981",₹130.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"2,153",₹539.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"5,399",₹69.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"34,527",₹344.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"6,716",₹229.00
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,"3,151",₹65.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,782,₹225.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"2,581",₹59.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"4,824",₹133.00
Colour with Crayons Part - 1,Dreamland Publications,4.2 out of 5 stars,"2,737",₹56.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"14,576",₹152.00
Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,Arihant Experts,4.5 out of 5 stars,"1,063",₹523.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"5,860",₹540.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"24,971",₹494.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"12,457",₹167.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"33,868",₹149.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"49,427",₹323.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"9,929",₹158.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,832,₹499.00
My Activity- ABC Writing Book,Dreamland Publications,4.4 out of 5 stars,"1,362",₹65.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.4 out of 5 stars,667,₹274.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"32,346",₹179.00
Activity Books Collection for Early Learning by InIkao : Set of 8 Activity Books for Kindergarten kids,InIkao,4.3 out of 5 stars,477,₹99.00
Wuthering Heights,Emily Brontë,4.5 out of 5 stars,"11,887",₹97.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"2,694",₹311.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"72,549",₹244.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"21,064",₹99.00
One Arranged Murder,Chetan Bhagat,4.3 out of 5 stars,"10,574",₹144.00
101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,4.4 out of 5 stars,"1,487",₹147.00
How to Prepare for QUANTITATIVE APTITUDE for CAT | 9th Edition,Arun Sharma,4.6 out of 5 stars,9,₹808.00
My Activity- ABC Colouring Book,Dreamland Publications,4.4 out of 5 stars,"1,884",₹78.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"14,739",₹299.00
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"18,846",₹97.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"3,399",₹97.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"8,512",₹182.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,"3,283",₹97.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.5 out of 5 stars,"4,861",₹332.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"2,108",₹432.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"2,880",₹144.00
All In One - Writing Book (Practice),Maple Press,4.4 out of 5 stars,"1,557",₹133.00
Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5 out of 5 stars,"1,793",₹509.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"6,707",₹325.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"28,598",₹279.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"4,747",₹292.00
India & World Map ( Both Political & Physical ) with Constitution of India Chart & History of India Chart | NON…,Vidya Chitr Prakashan,4.6 out of 5 stars,393,₹160.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"5,127",₹790.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"12,907",₹244.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"27,435",₹256.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"3,608",₹178.00
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5 out of 5 stars,"1,389",₹125.00
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.6 out of 5 stars,"4,372",₹400.00
"NCERT BOOK , Hornbill Textbook in English ,Snapshots Supplementary Reader in English for Class-XI (Core Course) ,[COMBO…",NCERT,4.4 out of 5 stars,154,₹150.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"6,253",₹129.00
My First All in One: Bilingual Picture Book for Kids Hindi-English,Wonder House Books,4.4 out of 5 stars,955,₹99.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"50,380",₹139.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,598,₹151.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"40,629",₹226.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"3,667",₹181.00
Hindi Sulekh - Varanmala - Handwriting Practice Workbook for Kids 3-6 Years Old,Maple Press,4.5 out of 5 stars,527,₹86.00
365 Colouring Book,Dreamland Publications,4.5 out of 5 stars,"2,154",₹199.00
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"14,060",₹198.00
CBSE All In One English Core Class 12 for 2022 Exam,Nandini Sharma Srishti Agarwal,-1,0,₹380.00
Sapiens Graphic Novel: Volume 1,Yuval Noah Harari,4.7 out of 5 stars,774,₹768.00
The Diary of a Young Girl,Anne Frank,4.6 out of 5 stars,"3,088",₹97.00
Metamorphosis,Franz Kafka,4.5 out of 5 stars,"3,464",₹69.00
Rich Dad Poor Dad - 20th Anniversary Edition (Hindi),Robert T. Kiyosaki,4.6 out of 5 stars,"5,694",₹221.00
Mathematics for Class 11 (set of 2 volumes) Examination 2021-22: Vol. 2,R.D. Sharma,4.6 out of 5 stars,"1,024",₹630.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"4,598",₹110.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"19,389",₹370.00
Capital Letters ABC: Write and practice Capital Letters A to Z book for kids (Writing Fun),Wonder House Books,4.3 out of 5 stars,"1,199",₹42.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"4,980",₹199.00
"INDIAN ECONOMY For Civil Services, Universities and Other Examinations | 13th Edition",RAMESH SINGH,4.6 out of 5 stars,31,₹568.00
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,"1,444",₹125.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"9,357",₹142.00
Start With Why: How Great Leaders Inspire Everyone To Take Action,Simon Sinek,4.5 out of 5 stars,"8,086",₹359.00
Writing 123 (1-20) (Pre-School Picture Books),Dreamland Publications,4.4 out of 5 stars,"1,485",₹58.00
"Environment - 8/edition, 2021",Shankar,4.0 out of 5 stars,17,₹239.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"7,224",₹209.00
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,"1,614",₹130.00
Manorama English Yearbook 2021,Mammen Mathew,4.5 out of 5 stars,"1,461",₹226.00
Brilliant Brain Activity Book 3+,Dreamland Publications,4.6 out of 5 stars,"1,041",₹149.00
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.4 out of 5 stars,"6,985",₹230.00
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,"1,897",₹127.00
